Region_ID,Time_Period,Renewable_Capacity_Added_MW,Total_Energy_Demand_MWh,Coal_Power_Generation_MWh,Carbon_Emission_tCO2,Transmission_Capacity_MW,Transmission_Completion_Rate,PSA_Signed,DISCOM_Debt_USD,AT_C_Loss_Percent,Land_Acquisition_Delay_Months,Renewable_Subsidy_USD,Coal_Subsidy_USD,Energy_Storage_Capacity_MW,Economic_Growth_Rate,Project_ID,Project_Completion_Status
IN-JK,2014-11,0.0,1152065,2544730,26258326,17746,64.03925135931351,0,704056595,3.601840224632147,,40367510,313984056,2198.0,0.83,,
IN-TS,2010-05,174.18,6042257,3236441,11621021,44691,43.13783991842593,1,855726681,,17.0,34389439,240224431,6390.0,-2.38,,
IN-MH,2011-02,391.26,4182961,3348265,2661198,31866,80.5337606822114,0,146194355,16.59486997482076,14.0,74359051,60399998,2754.0,11.97,,
IN-GJ,2018-08,66.42,5757560,3629620,10320094,7412,41.09012519319344,0,930682944,41.94394790166789,25.0,62717988,455447034,1075.0,4.71,,
IN-LA,2017-08,307.25,7460256,3402428,37761374,28612,0.3199368269155012,0,877198291,11.550432736243804,29.0,78698222,118074065,,-3.17,,
IN-AS,2016-11,0.0,219776,4045064,36045043,16037,52.163112767324314,0,145178889,8.996070377413101,15.0,43261460,424533063,,3.51,,
IN-UT,2015-01,139.91,8645217,1369682,33989451,14192,49.27104117882527,1,763866056,14.51432222479781,9.0,16560668,493189064,9739.0,14.27,,
IN-SK,2022-05,0.0,9792404,2008488,35943635,26783,77.71541243356127,0,500469280,45.612087957644064,19.0,39520100,196280195,2665.0,11.54,,
IN-MZ,2023-12,87.07,8272645,1278387,5590464,28236,10.7352911201559,1,249197105,,30.0,2517838,185419950,9168.0,-0.95,,
IN-GA,2017-11,183.45,5432826,1946264,33812246,6688,51.94590764801952,1,52372889,40.64515810396739,8.0,91448169,494289701,2413.0,7.63,,
IN-RJ,2025-05,185.36,75229,3698791,37680778,40945,7.0316245547538125,1,12714288,4.496778952275515,26.0,83416529,164813533,335.0,12.86,,
IN-NL,2015-07,0.0,841453,2992262,32267936,17365,54.56098283846288,0,52433198,29.856885799623196,17.0,82759784,480104621,,1.37,,
IN-DN,2019-12,119.9,2058007,2205583,42573114,8129,89.3558578946006,0,263490960,37.97212908440933,31.0,68847810,66170966,7292.0,4.03,,
IN-KL,2018-11,81.75,2379012,3370641,670642,7245,39.211878200255754,0,264856010,,0.0,4696324,419614833,3579.0,2.82,,
IN-CH,2014-07,0.0,7012125,4779564,23080968,13104,47.62937030547023,0,598785886,8.005794572592778,10.0,66225928,205354073,664.0,14.29,,
IN-PY,2012-07,310.82,9830460,3081110,30940773,39263,20.176130289875417,1,9050199,39.26486318195041,,80971224,182407426,1636.0,8.63,,
IN-AN,2015-06,14.48,1045749,149066,27450314,7686,20.14364519199374,1,265357629,,23.0,268306,321860488,9070.0,1.73,,
IN-DL,2013-01,181.91,9587892,4970728,252726,14190,54.5566872310237,0,478468771,17.461758129766736,15.0,27220301,134008624,,11.43,,
IN-HR,2024-03,0.0,8095307,2070109,9924628,23611,46.74711609611517,1,481657705,0.03711179248042651,,9486952,6590605,3200.0,-3.8,,
IN-AP,2014-03,226.92,733788,4794269,18445210,37580,35.1384441909039,1,931569256,40.30688520729199,12.0,12129862,2089671,3261.0,0.64,,
IN-SK,2021-09,519.27,2882905,932739,34403577,31467,7.9991633063403285,0,612775826,29.08697587456583,17.0,4866878,365859217,1936.0,-1.33,,
IN-MP,2024-05,71.38,2815735,1484117,30606291,46721,44.00692403899591,0,47542786,15.481800125999095,,5749354,476009740,7143.0,14.24,,
IN-BR,2011-02,542.84,8883577,3346918,32366856,42978,40.57497968561993,0,676671763,10.423617337354829,29.0,78592034,475900304,8021.0,11.26,,
IN-TN,2013-09,0.0,7979800,4087044,7913117,1252,79.80182335631112,0,854349067,46.961148575569055,9.0,46153152,327024168,6656.0,-2.18,,
IN-BR,2010-01,187.86,8147340,1631890,7899816,48486,65.20236875627295,1,69762183,12.579148128049505,9.0,21521150,21245408,,5.37,,
IN-GA,2021-11,90.31,3444645,3105129,32099431,2311,60.75749669741873,0,83459163,29.498158803005015,29.0,45717077,407407807,6616.0,8.97,,
IN-AN,2010-12,101.07,5020642,2989854,27323130,8564,53.54449817878503,0,286495821,17.35012504878043,21.0,84954738,221905763,2299.0,-3.16,,
IN-PY,2025-12,0.0,3130740,3539693,9740230,13962,58.302925492835655,0,655808885,26.403842779452503,21.0,16613594,243287385,9348.0,-3.49,,
IN-CT,2018-05,1.13,1464858,1495396,25246670,10523,23.20485123514472,1,581474301,36.12992016049618,6.0,27767631,151458459,2631.0,0.17,,
IN-AP,2010-01,298.19,1462901,972679,37179821,2659,69.45492477164883,0,203197107,37.13570394931271,22.0,54120991,476239789,4163.0,-0.2,,
IN-GA,2013-11,185.52,411428,505745,4044285,22537,96.75357513238517,1,126066712,35.550209159273024,3.0,93718686,308891690,3642.0,11.03,,
IN-TS,2011-03,81.59,9221199,3323618,15165694,44960,,0,122009819,42.41806255512529,0.0,78151385,25767500,,13.55,,
IN-TN,2019-01,134.38,7699224,4248498,27734288,31411,48.7723820431423,0,902578421,13.870231839651154,35.0,87636760,127660528,2154.0,7.77,,
IN-CH,2025-10,167.56,2135684,3198132,10671437,40742,84.19656032525545,0,148965134,,4.0,59848013,55221866,3795.0,12.92,,
IN-UT,2021-12,40.44,5508001,2737043,19556642,35704,61.632225230184446,1,977592479,28.083855789023453,21.0,16101574,440289774,5265.0,10.79,,
IN-LD,2017-06,432.95,7145211,2613181,29695312,30410,37.18402700624488,0,64839508,4.828671778879512,36.0,11158360,171162819,7700.0,1.05,,
IN-GJ,2017-01,0.0,1825242,1428879,5743475,31981,81.55585997300783,1,934832471,38.313534698219264,,35801220,23116523,7603.0,8.42,,
IN-AS,2016-01,192.1,423746,980068,18226860,27703,57.053668010767424,1,768661496,48.21725145230534,13.0,35319022,15967727,724.0,14.07,,
IN-NL,2015-03,578.52,1392377,397220,47076562,22311,36.82339402531435,1,612760402,38.77700080452755,10.0,89997591,401205853,7262.0,-0.01,,
IN-MN,2016-08,19.19,5642264,4962390,35922898,45951,4.543379923786239,1,237991138,33.22663309548964,31.0,56135745,84507146,409.0,-3.93,,
IN-WB,2020-12,251.5,4789203,26082,43186182,15917,19.757502374690006,1,647715500,21.19511382422817,31.0,34709148,196304168,2836.0,2.16,,
IN-TR,2020-05,0.0,6071739,52279,23588750,18362,31.05438107462635,0,442267045,,9.0,15360858,343759748,3553.0,3.14,,
IN-DL,2024-02,288.25,23297,2755338,28875044,32434,5.977845477296196,0,556089831,8.08165777601798,1.0,93712749,386479425,2154.0,0.83,,
IN-TS,2014-11,0.0,3970438,2156718,39362090,39519,68.73933764850791,0,2540441,20.990703363334823,,668963,391237903,130.0,-3.48,,
IN-DN,2013-06,235.87,8744260,3516824,34575223,36522,76.04595431030822,0,604892719,,14.0,52975008,411887525,,14.07,,
IN-CH,2025-03,0.0,7734282,4561179,26599656,47190,85.15701832771953,1,185781379,49.69182182099091,15.0,19216720,350171592,5920.0,-4.56,,
IN-AN,2015-09,96.48,861115,4015778,44745787,7103,,0,338831275,34.859124343205615,,79413578,335503632,475.0,12.11,,
IN-GA,2021-04,0.0,2909028,3546957,902529,15467,26.570959463629684,1,513525425,29.152256304705222,27.0,89476820,200769439,9378.0,-0.02,,
